property_type,tenure,built_year,num_beds,num_baths,size_sqft,lat,lng,price
0,0,1988.0,3.0,2.0,1115,1.41439935,103.83719568172816,514500.0
0,0,1992.0,4.0,2.0,1575,1.3725968000000002,103.87562460126242,995400.0
2,2,2022.0,4.0,6.0,3070,1.2987726,103.895798,8485000.0
2,2,2023.0,3.0,2.0,958,1.3123637,103.80327091227252,2626000.0
2,0,2026.0,2.0,1.0,732,1.2739587,103.84363531310518,1764000.0
2,2,2024.0,2.0,2.0,689,1.3393381,103.7638932,1702000.0
2,0,2026.0,3.0,2.0,1076,1.31064045,103.85214926006608,2475900.0
2,1,1985.0,5.0,6.0,11500,1.3423402,103.784489,15645000.0
2,2,2014.0,1.0,1.0,700,1.3155347,103.825684432334,1312500.0
2,2,2025.0,2.0,1.0,570,1.310429,103.80282102340084,1802500.0
2,2,2023.0,2.0,1.0,646,1.32970335,103.90568292831622,1365000.0
2,2,2024.0,1.0,1.0,474,1.3393381,103.7638932,1008000.0
2,0,2004.0,3.0,3.0,1227,1.36432355,103.83166833259988,2079000.0
2,0,2024.0,2.0,1.0,850,1.29988105,103.88811428633838,2080000.0
0,0,1992.0,3.0,2.0,1119,1.3816301,103.7421019293336,554400.0
0,0,1981.0,3.0,2.0,980,1.328739,103.84453365993072,554400.0
2,2,2009.0,1.0,1.0,517,1.3129331,103.85686967571708,800100.0
2,0,2017.0,4.0,7.0,6200,1.277361,103.84933771170438,19740000.0
0,0,1980.0,1.0,1.0,470,1.3737939,103.84901393695192,309800.0
2,0,2023.0,4.0,4.0,1496,1.304855,103.77377633404797,2730000.0
1,0,1996.0,5.0,5.0,2700,1.3642682,103.9675891,2079000.0
0,0,1995.0,4.0,2.0,1625,1.2943763,103.80448307932464,1134000.0
1,2,2008.0,5.0,6.0,7829,1.32201645,103.8364502631857,11025000.0
0,0,1996.0,3.0,2.0,1560,1.3346024,103.90839720876184,934500.0
2,0,2007.0,1.0,1.0,657,1.2946685,103.8500737,1365000.0
1,2,2025.0,4.0,5.0,4716,1.30062,103.892783,8059800.0
0,0,1985.0,2.0,2.0,721,1.35539535,103.95322139402808,388500.0
2,2,2010.0,3.0,2.0,1561,1.30668715,103.83618134892708,3832500.0
2,0,2017.0,2.0,2.0,1098,1.277361,103.84933771170438,2719500.0
2,2,2023.0,3.0,3.0,1130,14.4848138,121.0232316,2671200.0
2,2,2011.0,2.0,2.0,872,1.3129422000000002,103.84155234754564,2380400.0
1,2,1980.0,4.0,4.0,1392,1.3196642,103.92376598402689,4830000.0
2,2,2024.0,3.0,3.0,1281,1.3087662,103.8090654,3245400.0
2,2,2023.0,3.0,2.0,1130,1.3087662,103.8090654,3032400.0
0,0,1988.0,3.0,2.0,1001,1.4241899,103.8449321,581700.0
2,0,2023.0,1.0,1.0,452,1.30010805,103.84667445597408,1342300.0
2,2,2022.0,4.0,4.0,1765,1.3443339,103.8786904,3360000.0
2,0,2023.0,1.0,1.0,646,1.3031066,103.83293253725688,1412200.0
2,0,2025.0,4.0,3.0,2088,1.3116278,103.79388546155636,7350000.0
0,0,1992.0,3.0,2.0,1000,1.3870525,103.7722878,577500.0
0,0,1992.0,2.0,2.0,721,1.3557437,103.8713719,435800.0
0,0,1985.0,4.0,2.0,1270,1.35451645,103.96138214424742,661500.0
2,0,2025.0,2.0,1.0,657,1.3765249,103.7573796,892500.0
1,2,2000.0,5.0,7.0,4350,1.3444213,103.8376946,12075000.0
2,0,2015.0,3.0,3.0,1453,1.31525305,103.80335348540277,2887500.0
0,0,2000.0,3.0,2.0,1130,1.3359166999999998,103.9369443776042,648900.0
1,2,2007.0,5.0,6.0,5230,1.4405369,103.82607667170107,6667500.0
0,0,1988.0,3.0,2.0,1001,1.4471173,103.8141757373453,609000.0
1,2,2013.0,5.0,6.0,5000,1.3870489,103.872999,7119000.0
2,2,2025.0,4.0,3.0,1313,1.3136277,103.8831086,2274800.0
0,0,1985.0,3.0,2.0,1119,1.3499487,103.94994605,617400.0
2,2,2025.0,3.0,2.0,936,1.310429,103.80282102340084,2310000.0
2,0,2027.0,2.0,2.0,689,1.3252767,103.9326308,1375500.0
2,2,2023.0,5.0,4.0,1819,1.27568865,103.83822499656318,6161400.0
0,0,1985.0,3.0,2.0,1130,1.37112775,103.95807671272708,575400.0
0,0,1992.0,3.0,2.0,1313,1.34387085,103.7578477023541,628800.0
2,0,2024.0,2.0,2.0,753,1.29773195,103.8559134735316,2288000.0
2,2,2023.0,4.0,4.0,1399,14.4848138,121.0232316,3272800.0
1,0,2023.0,3.0,2.0,926,1.39734855,103.89235330638869,1076200.0
2,2,2025.0,3.0,2.0,1281,1.31730585,103.83260746060152,3922700.0
2,0,2024.0,3.0,2.0,904,1.29841635,103.85717773862802,2516800.0
0,0,1985.0,4.0,2.0,1313,1.3766151999999998,103.94052928851568,724500.0
2,2,2024.0,1.0,1.0,527,1.30397875,103.82269161887947,1541400.0
2,2,2014.0,6.0,6.0,7015,1.3171727,103.922284,8998500.0
0,0,2017.0,3.0,2.0,1001,1.3349051,103.87943952124174,798000.0
2,0,2026.0,3.0,2.0,958,1.44002835,103.82774103667388,1459500.0
1,0,2014.0,3.0,3.0,1184,1.4243288500000002,103.84822482554188,1257900.0
2,2,2025.0,4.0,4.0,2368,1.3101838,103.8359137,10963400.0
1,0,2017.0,2.0,2.0,764,1.39704825,103.89393329199906,1155000.0
2,2,2023.0,2.0,2.0,667,1.3123637,103.80327091227252,1772400.0
2,0,2026.0,3.0,2.0,1076,1.3113226999999998,103.85247580094573,2415000.0
1,2,2013.0,5.0,5.0,4925,1.3307918,103.7577266,6016500.0
0,0,2011.0,3.0,2.0,1140,1.2777916500000002,103.84140360852476,1260000.0
2,2,2013.0,5.0,3.0,5985,1.3178998,103.8258621,14184200.0
2,0,2023.0,1.0,1.0,560,1.3027702,103.8694351,1761900.0
2,2,2024.0,2.0,1.0,710,1.30397875,103.82269161887947,1937000.0
0,0,1985.0,2.0,2.0,796,1.3533064,103.951144,472500.0
0,0,2004.0,3.0,2.0,969,1.4472891,103.7708303,525000.0
0,0,1998.0,4.0,2.0,1270,1.3416378,103.70553212628354,735000.0
2,2,2024.0,5.0,4.0,1884,1.3393381,103.7638932,4438400.0
0,0,1982.0,2.0,2.0,645,1.3048464,103.8625836,446200.0
1,1,2008.0,5.0,5.0,6437,1.3726929499999998,103.7699175716839,9816300.0
0,0,1981.0,3.0,2.0,1001,1.31507315,103.86063151014405,984900.0
2,0,2017.0,1.0,1.0,549,69.4867678,20.1844341,1470000.0
0,0,1980.0,3.0,2.0,990,1.37365485,103.85697538402584,521800.0
1,2,2008.0,5.0,6.0,3966,1.3555426,103.8802545,5019000.0
2,2,2025.0,4.0,3.0,1195,1.3136277,103.8831086,2082900.0
2,0,2026.0,3.0,2.0,1421,1.2739587,103.84363531310518,3514400.0
2,2,2009.0,3.0,3.0,1603,1.2915065499999998,103.83670439151769,4376200.0
0,0,1992.0,3.0,2.0,1291,1.3620961,103.7444601867664,564900.0
1,0,2016.0,4.0,4.0,1367,1.39490445,103.87994825262744,1837500.0
2,0,2014.0,2.0,1.0,752,1.4275711,103.78575216457712,924000.0
2,0,2012.0,7.0,8.0,7900,1.34166185,103.7808309432764,12264000.0
2,2,2025.0,3.0,2.0,936,1.310429,103.80282102340084,2520300.0
2,2,2022.0,4.0,4.0,1281,1.3443339,103.8786904,2733200.0
0,0,1996.0,3.0,2.0,1022,1.3175466999999998,103.89851880043382,892500.0
0,0,1988.0,3.0,2.0,1011,1.4501476,103.8157699,545000.0
2,2,2023.0,4.0,3.0,1345,1.3087662,103.8090654,3990000.0
0,0,2004.0,5.0,4.0,1905,1.4290407,103.7720746,1155000.0
0,0,1980.0,3.0,2.0,1205,1.3580925,103.84217392551992,630000.0
0,0,2006.0,3.0,2.0,1001,1.2766663,103.80704638711627,1143300.0
1,0,2017.0,4.0,3.0,1185,1.4170170999999998,103.84503465472268,1604400.0
0,0,1996.0,3.0,2.0,1119,1.32616425,103.90216178147097,556500.0
0,0,2004.0,4.0,3.0,1825,1.4377016,103.77733635,934500.0
0,0,1992.0,3.0,2.0,990,1.3984628,103.9190743,609000.0
2,0,2023.0,5.0,4.0,1679,1.36679605,103.8865753660334,2536300.0
1,2,2000.0,7.0,9.0,4350,1.3444213,103.8376946,11340000.0
2,2,2025.0,3.0,2.0,797,1.3086965,103.8981317,1827000.0
2,2,2021.0,4.0,4.0,1259,1.330403,103.7949393,3879300.0
0,0,2004.0,3.0,2.0,969,1.3120277,103.85167627533578,829500.0
2,0,2019.0,3.0,2.0,786,1.4350322,103.84433307382491,1050000.0
0,0,1998.0,3.0,2.0,1076,1.3402661,103.69576086640916,575400.0
2,2,2021.0,3.0,2.0,990,1.330403,103.7949393,2845500.0
2,0,2026.0,4.0,4.0,1302,1.44002835,103.82774103667388,1953000.0
2,0,2016.0,2.0,2.0,678,1.3526158,103.85088456895812,1344000.0
0,0,2006.0,4.0,2.0,1248,1.2810166,103.80929125585544,766500.0
1,2,2007.0,5.0,7.0,7000,1.46136225,103.83614823161346,6594000.0
0,0,1992.0,3.0,2.0,1076,1.3716072499999998,103.87540214808246,617400.0
0,0,1988.0,3.0,2.0,1216,1.4241899,103.8449321,724500.0
1,0,2017.0,3.0,2.0,936,1.445516,103.82705855838422,1344000.0
0,0,1992.0,3.0,2.0,1184,1.3877522,103.7694179,617400.0
2,1,2014.0,2.0,2.0,678,1.29436855,103.8284376,1669500.0
1,0,2027.0,3.0,2.0,968,1.4349279,103.8452818,1197000.0
2,0,2023.0,1.0,1.0,527,1.35258045,103.83922542690792,1037400.0
2,1,2024.0,3.0,2.0,1152,1.3306509,103.7670572,2368800.0
2,0,1996.0,2.0,2.0,947,1.3128118,103.93903292138398,1154000.0
2,2,2022.0,2.0,1.0,635,1.3443339,103.8786904,1567600.0
2,2,2022.0,2.0,2.0,657,1.3156128,103.8454853,1785000.0
0,0,2011.0,3.0,2.0,893,1.28163205,103.84231222587113,1050000.0
0,0,1978.0,3.0,2.0,1044,1.31088855,103.7696620501535,588000.0
0,0,1985.0,3.0,2.0,1377,1.36781235,103.95821899168908,701400.0
2,2,2017.0,3.0,3.0,1862,1.30348325,103.82468956573264,7039200.0
0,0,1992.0,3.0,2.0,1399,1.3872543,103.7597827,848400.0
0,0,1992.0,3.0,2.0,1184,1.3955935,103.8990262464462,630000.0
0,0,1992.0,3.0,2.0,1313,1.37640055,103.77489833847288,586800.0
2,0,2025.0,3.0,2.0,1076,1.26522915,103.81751884226044,2815000.0
1,0,2027.0,3.0,3.0,1076,1.4349279,103.8452818,1398400.0
2,1,2011.0,1.0,1.0,452,1.37998675,103.96270907169402,656200.0
0,0,1996.0,3.0,2.0,1302,1.31947695,103.88276969928656,795900.0
0,0,1981.0,2.0,2.0,721,1.32829915,103.8613772552474,586800.0
2,2,2026.0,2.0,2.0,710,1.3159484,103.8575892,1361800.0
2,1,2024.0,3.0,2.0,936,1.3306509,103.7670572,1870000.0
0,0,1988.0,3.0,2.0,1001,1.44761315,103.83352025714105,575400.0
2,0,2025.0,3.0,2.0,1012,1.3765249,103.7573796,1575000.0
0,0,1998.0,3.0,2.0,968,1.3410727,103.69975192335232,491400.0
2,2,2002.0,3.0,3.0,1475,1.3102151,103.8986321,3150000.0
1,0,1998.0,6.0,6.0,3863,1.4283557,103.7804964,2940000.0
0,0,1978.0,3.0,2.0,1033,1.31027885,103.77076171925694,912300.0
2,2,2015.0,1.0,1.0,463,1.3176791,103.82871568958832,1344000.0
2,0,2026.0,3.0,2.0,1259,1.2915415,103.84517442690934,3771600.0
0,0,2010.0,3.0,2.0,1033,1.39233145,103.87696169399544,630000.0
0,0,1992.0,3.0,2.0,1119,1.3850886,103.74092066788272,514500.0
2,2,2016.0,2.0,1.0,560,1.3442122,103.87315338580112,1029000.0
