,price
0,514500.0
1,995400.0
2,8485000.0
3,2626000.0
4,1764000.0
5,1702000.0
6,2475900.0
7,1312500.0
8,1802500.0
9,1365000.0
10,1008000.0
11,2079000.0
12,2080000.0
13,554400.0
14,554400.0
15,800100.0
16,19740000.0
17,309800.0
18,2730000.0
19,2079000.0
20,1134000.0
21,934500.0
22,1365000.0
23,8059800.0
24,388500.0
25,3832500.0
26,2719500.0
27,4830000.0
28,3245400.0
29,3032400.0
30,581700.0
31,1342300.0
32,3360000.0
33,1412200.0
34,7350000.0
35,577500.0
36,435800.0
37,661500.0
38,892500.0
39,12075000.0
40,2887500.0
41,648900.0
42,609000.0
43,7119000.0
44,2274800.0
45,617400.0
46,2310000.0
47,1375500.0
48,6161400.0
49,575400.0
50,628800.0
51,2288000.0
52,1076200.0
53,3922700.0
54,2516800.0
55,724500.0
56,1541400.0
57,8998500.0
58,798000.0
59,1459500.0
60,1257900.0
61,1155000.0
62,1772400.0
63,2415000.0
64,6016500.0
65,1260000.0
66,14184200.0
67,1761900.0
68,1937000.0
69,472500.0
70,525000.0
71,735000.0
72,4438400.0
73,446200.0
74,984900.0
75,521800.0
76,5019000.0
77,2082900.0
78,3514400.0
79,4376200.0
80,564900.0
81,1837500.0
82,924000.0
83,2520300.0
84,2733200.0
85,892500.0
86,545000.0
87,3990000.0
88,1155000.0
89,630000.0
90,1604400.0
91,556500.0
92,934500.0
93,609000.0
94,2536300.0
95,11340000.0
96,1827000.0
97,3879300.0
98,829500.0
99,1050000.0
100,575400.0
101,2845500.0
102,1953000.0
103,1344000.0
104,766500.0
105,6594000.0
106,617400.0
107,724500.0
108,1344000.0
109,617400.0
110,1669500.0
111,1197000.0
112,1037400.0
113,2368800.0
114,1154000.0
115,1567600.0
116,1785000.0
117,1050000.0
118,588000.0
119,701400.0
120,7039200.0
121,848400.0
122,630000.0
123,586800.0
124,2815000.0
125,1398400.0
126,656200.0
127,795900.0
128,586800.0
129,1361800.0
130,1870000.0
131,575400.0
132,1575000.0
133,491400.0
134,3150000.0
135,2940000.0
136,912300.0
137,1344000.0
138,3771600.0
139,630000.0
140,514500.0
141,1029000.0
142,648900.0
143,4357500.0
144,4179000.0
145,1648500.0
146,2940300.0
147,965000.0
148,1260000.0
149,813800.0
150,787500.0
151,932400.0
152,819000.0
153,22890000.0
154,651000.0
155,3779000.0
156,672000.0
157,1260000.0
158,1428000.0
159,1281000.0
160,399000.0
161,1047900.0
162,1998200.0
163,6195000.0
164,1633800.0
165,491400.0
166,3059700.0
167,770700.0
168,546000.0
169,6825000.0
170,1554000.0
171,924000.0
172,2310000.0
173,609000.0
174,409500.0
175,2612400.0
176,869400.0
177,1785000.0
178,441000.0
179,1134000.0
180,596400.0
181,399000.0
182,7140000.0
183,1680000.0
184,1773300.0
185,5953500.0
186,607800.0
187,1811200.0
188,1344000.0
189,512400.0
190,1362900.0
191,2625000.0
192,682500.0
193,577500.0
194,5477800.0
195,699300.0
196,1360100.0
197,1510900.0
198,5964000.0
199,2831800.0
200,656200.0
201,4519200.0
202,1048800.0
203,6603300.0
204,420000.0
205,630000.0
206,16800000.0
207,3913200.0
208,2752300.0
209,3066000.0
210,798000.0
211,1491000.0
212,577500.0
213,522900.0
214,3570000.0
215,1291500.0
216,1365000.0
217,577500.0
218,2119300.0
219,420000.0
220,3849300.0
221,603800.0
222,493500.0
223,2730000.0
224,12810000.0
225,1260000.0
226,1764000.0
227,2787800.0
228,3360000.0
229,2605300.0
230,1365000.0
231,519800.0
232,2047500.0
233,3780000.0
234,2415000.0
235,774900.0
236,1701000.0
237,1942500.0
238,819000.0
239,525000.0
240,945000.0
241,2192400.0
242,2100000.0
243,1575000.0
244,3675000.0
245,1527800.0
246,2568300.0
247,3081800.0
248,1260000.0
249,976500.0
250,1974000.0
251,1470000.0
252,2929500.0
253,577500.0
254,1080400.0
255,1502600.0
256,945000.0
257,771800.0
258,3853500.0
259,1470000.0
260,827400.0
261,1202200.0
262,1607100.0
263,1485100.0
264,1470000.0
265,2814000.0
266,513300.0
267,588000.0
268,3045000.0
269,1575000.0
270,4615800.0
271,14910000.0
272,699300.0
273,598500.0
274,1449000.0
275,2696200.0
276,10269000.0
277,1360100.0
278,1890000.0
279,1016400.0
280,3953200.0
281,12821900.0
282,4200000.0
283,513300.0
284,6699000.0
285,966000.0
286,735000.0
287,2884400.0
288,1837500.0
289,1470000.0
290,6279000.0
291,5821200.0
292,513300.0
293,2337300.0
294,1739800.0
295,1118200.0
296,1554000.0
297,630100.0
298,480900.0
299,3381000.0
300,9333300.0
301,26827500.0
302,732900.0
303,582800.0
304,3150000.0
305,840000.0
306,2507400.0
307,4711400.0
308,367500.0
309,3255000.0
310,1353300.0
311,2625000.0
312,1751400.0
313,2835000.0
314,428400.0
315,1862700.0
316,2372000.0
317,583300.0
318,2052800.0
319,510300.0
320,735000.0
321,714000.0
322,7140000.0
323,2835000.0
324,1890000.0
325,1637000.0
326,4329000.0
327,24150000.0
328,1594700.0
329,840000.0
330,420000.0
331,1837500.0
332,399000.0
333,1260000.0
334,1575000.0
335,5591200.0
336,892500.0
337,1830200.0
338,2071400.0
339,2475900.0
340,669900.0
341,1236900.0
342,1415400.0
343,2082200.0
344,1709400.0
345,3150000.0
346,357000.0
347,378000.0
348,681200.0
349,651000.0
350,627900.0
351,3609900.0
352,2453800.0
353,6174000.0
354,645800.0
355,2625000.0
356,1879500.0
357,22890000.0
358,551200.0
359,1795500.0
360,1417500.0
361,2402400.0
362,609000.0
363,2243800.0
364,1197000.0
365,577500.0
366,6606600.0
367,2887500.0
368,1365000.0
369,929200.0
370,2934800.0
371,2598800.0
372,764400.0
373,3719100.0
374,2422600.0
375,839000.0
376,2557800.0
377,407400.0
378,1627500.0
379,1194900.0
380,9135000.0
381,3735900.0
382,691700.0
383,3245400.0
384,404200.0
385,4776400.0
386,1449000.0
387,4305000.0
388,1302000.0
389,22050000.0
390,1496200.0
391,446200.0
392,1371300.0
393,6174000.0
394,2541000.0
395,745500.0
396,1143300.0
397,1016400.0
398,975300.0
399,3767400.0
400,488200.0
401,519800.0
402,714000.0
403,1839600.0
404,1496200.0
405,2548400.0
406,659400.0
407,1829100.0
408,4515000.0
409,1260000.0
410,2633700.0
411,509200.0
412,1730400.0
413,2940300.0
414,1575000.0
415,2310000.0
416,9076200.0
417,1711500.0
418,449400.0
419,2113600.0
420,3937500.0
